c1,c2,c3,c4,c5,c6,c7,c8,c9,latitude,longitude
 CC16  ,Marymount,玛丽蒙,மேரிமவுண்ட்,"Marymount / Shunfu
",MRM,Bishan,"—
",,1.3404276785035,103.857055779648
 CC17  TE9   ,Caldecott,加利谷,கால்டிகாட்,8 October 2011,"Thomson / Caldecott
",CDT,Toa Payoh,"  Thomson–East Coast Line 
",1.3393282223049,103.831875418151
—,Bukit Brown[b],武吉布朗,புக்கிட் பிரவுன்,TBA,"Bukit Brown
",TBA,Novena,"—
",,
 CC19  DT9   ,Botanic Gardens • Kebun Bunga,植物园,பூ மலை,8 October 2011,"Adam, Botanic Gardens / Cluny Road
",BTN,Tanglin,"  Downtown Line 
",,
 CC20  ,Farrer Road,花拉路,ஃபேரர் சாலை,"Farrer, Farrer Road / Woollerton
",FRR,"Bukit Timah, Tanglin","—
",,1.31761152868507,103.807908040936
 CC21  ,Holland Village,荷兰村,ஹாலந்து வில்லேஜ்,"Holland, Holland Village / Chip Bee
",HLV,"Bukit Timah, Queenstown
",,,1.31000314658928,103.794968029324
 EW21  CC22   ,,波那维斯达,புவன விஸ்தா,"Buona Vista
",BNV,Queenstown,"  East West Line — Buona Vista Ghim Moh
",,1.28618901369947,103.785635666784
 CC23  ,one-north,纬壹,ஒன்-நார்த்,"one-north / Portsdown / Ayer Rajah
",ONH,Queenstown,"—
",,1.30326050404129,103.789209731059
 CC24  ,Kent Ridge,肯特岗,கெண்ட் ரிஜ்,"National University Hospital / Kent Ridge
",KRG,"Queenstown
",,,1.29793428466508,103.773167298977
 CC25   ,Haw Par Villa,虎豹别墅,ஹா பர் வில்லா,"West Coast / Haw Par Villa
",HPV,"Queenstown
",,,1.28256776898814,103.781788386048
 CC26  ,Pasir Panjang,巴西班让,பாசிர் பாஞ்சாங்,"Pasir Panjang / Bukit Chandu
",PPJ,"Queenstown
",,,1.28172875609119,103.755326686865
 CC27   ,Labrador Park,拉柏多公园,லாப்ரடார் பூங்கா,"Alexandra / Tanjong Berlayar
",LBD,"Bukit Merah
",,,1.27225417749656,103.802631578766
 CC28  ,Telok Blangah,直落布兰雅,தெலுக் பிளாங்கா,"Telok Blangah / Keppel
",TLB,"Bukit Merah
",,,1.27518820856114,103.806741280436
 NE1  CC29   ,,港湾,துறைமுகம்,"HarbourFront
",HBF,Bukit Merah,"  North East Line — HarbourFront— Sentosa Express VivoCity Singapore Cable Car Mount Faber Line Singapore Cruise Centre 
",,1.26396991176004,103.820243325181
—,Keppel,吉宝,கெப்பல்,2026,"Keppel / Keppel Harbour / Keppel Port
",KPL,Bukit Merah,"—
",,
—,Cantonment,广东民,கெண்டொன்மன்,"Cantonment / Tanjong Pagar West / Spottiswoode
",CTM,"Bukit Merah
",,,,
—,Prince Edward Road,爱德华太子路,பிரின்ஸ் எட்வர்ட் ரோடு,"Prince Edward, Prince Edward Road / Palmer / Marina Coastal
",PER,"Downtown Core
",,,,
 CE1  DT16  ,Bayfront,海湾舫,பேஃபிரண்ட்,14 January 2012,"Bayfront / Marina Bay Sands
",BFT,Downtown Core,"  Downtown Line 
",1.28537030528984,103.860871154701
 NS27  CE2  TE20   ,,滨海湾,மரீனா பே,"Marina Bay
",MRB,"Downtown Core, Straits View Planning Area","  North South Line   Thomson–East Coast Line 
",,1.28466203640592,103.861005919029
—,,双溪加株,சுங்கை காடுத்,Mid-2030s,Sungei Kadut,TBA,Sungei Kadut,"
",,
 BP6 – DT1   ,Bukit Panjang,武吉班让,புக்கிட் பாஞ்சாங்,27 December 2015,"Petir
",BKP,"Bukit Batok, Bukit Panjang, Choa Chu Kang","  Bukit Panjang LRT  — Bukit Panjang
",1.37841871333605,103.770193380673
 DT2   ,Cashew,凯秀,கேஷ்யூ,"Cashew / Chestnut / Hazel Park
",CSW,"Bukit Batok, Bukit Panjang","—
",,1.37217517648597,103.769356680695
 DT3   ,Hillview,山景,ஹில்வியூ,"Hillview / Dairy Farm / Upper Bukit Timah
",HVW,"Bukit Batok, Bukit Panjang
",,,1.35690906039691,103.760963203302
—,Hume,谦道,ஹியூம்,2025,"Hume
",TBA,"Bukit Batok, Bukit Panjang
",,,
 DT5   ,Beauty World,美世界,பியூட்டி வோர்ல்ட்,27 December 2015,"Beauty World / Anak Bukit / Seventh Mile
",BTW,Bukit Timah," Beauty World[16]
",1.34171846435096,103.775413562255
 DT6   ,King Albert Park,阿尔柏王园,கிங் ஆல்பர்ட் பார்க்,"Blackmore / Dunearn / King Albert Park
",KAP,Bukit Timah,"—
",,1.33445194935081,103.779519409773
 DT7   ,Sixth Avenue,第六道,சிக்ஸ்த் அவென்யூ,"Sixth Avenue / Bukit Timah / Eng Neo
",SAV,"Bukit Timah
",,,1.31747823297759,103.787578131476
 DT8   ,Tan Kah Kee,陈嘉庚,டான் கா கீ,"Duchess / Hillcrest / Watten / Kah Kee
",TKK,"Bukit Timah
",,,1.3264206950451,103.803769340703
 CC19  DT9   ,,植物园,பூ மலை,"Botanic Gardens
",BTN,Tanglin,"  Circle Line 
",,,
 DT10  TE11  ,Stevens,史蒂芬,ஸ்டீவன்ஸ்,"Stevens / Whitley / Wayang Satu
",STV,"Novena, Tanglin","  Thomson–East Coast Line 
",,1.31732347719983,103.826839917034
 NS21 – DT11   ,,纽顿,நியூட்டன்,"Newton
",NEW,Newton,"  North South Line  
",,1.31429426375311,103.841150697585
 NE7  DT12   ,,小印度,லிட்டில் இந்தியா,"Little India
",LTI,"Kallang, Rochor","  North East Line 
",,1.30548490393853,103.851636743175
 DT13  ,Rochor,梧槽,ரோச்சோர்,"Rochor / Tekka / Ophir
",RCR,Rochor,"—
",,1.30569049319514,103.858531112622
 EW12  DT14   ,,武吉士,பூகிஸ்,22 December 2013,"Bugis
",BGS,"Downtown Core, Rochor","  East West Line 
",1.30053391168851,103.854830942256
 CC4  DT15  ,,宝门廊,புரொமனாட்,"Promenade
",PMN,Downtown Core,"  Circle Line — Marina Centre
",,1.2884120422216,103.862357502783
 CE1  DT16  ,,海湾舫,பேஃபிரண்ட்,"Bayfront
",BFT,Downtown Core,"  Circle Line Extension 
",,1.28537030528984,103.860871154701
 DT17  ,Downtown,市中心,டௌன்டவுன்,"Landmark / Central Boulevard
",DTN,Downtown Core,"—
",,1.37691412455433,103.955036748549
 DT18  ,Telok Ayer,直落亚逸,தெலுக் ஆயர்,"Cross Street / Telok Ayer
",TLA,"Downtown Core, Outram
",,,1.28108464345095,103.847820429405
 NE4  DT19   ,,牛车水,சைனாடவுன்,"Hong Lim / Chinatown
",CNT,Outram,"  North East Line 
",,1.2822749605271,103.843238518071
 DT20  ,Fort Canning,福康宁,ஃபோர்ட் கெனிங்,21 October 2017,"River Valley / Fort Canning
",FCN,"Museum Planning Area, Singapore River Planning Area","—
",1.29756051659164,103.846989319055
 DT21  ,Bencoolen,明古连,பென்கூலன்,"Bencoolen / Waterloo
",BCL,"Museum Planning Area, Rochor
",,,1.29884558580411,103.849843606852
 DT22  ,Jalan Besar,惹兰勿刹,ஜாலான் புசார்,"Sungei Road / Jalan Besar
",JLB,"Rochor
",,,1.37745408150082,103.95662588933
 DT23  ,Bendemeer,明地迷亚,பெண்டிமியர்,"Jalan Besar, Bendemeer / Kallang Avenue
",BDM,"Kallang
",,,1.31521182262607,103.861615164485
 DT24   ,Geylang Bahru,芽笼峇鲁,கேலாங் பாரு,"Kallang Bahru, Geylang Bahru / Kolam Ayer
",GLB,"Kallang
",,,1.32058113128224,103.873158775642
 DT25  ,Mattar,玛达,மாத்தார்,"Mattar / Merpati
",MTR,"Geylang
",,,1.32687671501334,103.883247509542
 CC10  DT26   ,,麦波申,மெக்பர்சன்,"MacPherson
",MPS,Geylang,"  Circle Line 
",,1.33130887604519,103.878171212838
 DT27  ,Ubi,乌美,உபி,"Ubi / Kampong Ubi
",UBI,Geylang,"—
",,1.32488253615193,103.895530015199
 DT28  ,Kaki Bukit,加基武吉,காக்கி புக்கிட்,"Kaki Bukit
",KKB,"Bedok
",,,1.33486485041666,103.907873107727
 DT29   ,Bedok North,勿洛北,பிடோக் நார்த்,"Bedok Town Park / Bedok North
",BDN,"Bedok
",,,1.32725411989182,103.930899540152
 DT30   ,Bedok Reservoir,勿洛蓄水池,பிடோக் ரெசவோர்,"Bedok Reservoir
",BDR,"Bedok
",,,1.33772226878423,103.935051430356
 DT31   ,Tampines West,淡滨尼西,தெம்பினிஸ் வெஸ்ட்,"Tampines West
",TPW,"Tampines
",,,1.3456336579777,103.938492495285
 EW2 – DT32   ,,淡滨尼,தெம்பினிஸ்,"Tampines
",TAM,Tampines,"  East West Line  — Tampines Tampines Concourse
",,1.35214194752099,103.954010279015
 DT33   ,Tampines East,淡滨尼东,தெம்பினிஸ் ஈஸ்ட்,"Tampines East
",TPE,Tampines,"—
",,1.35997655324735,103.932126410857
 DT34   ,Upper Changi,樟宜上段,அப்பர் சாங்கி,"Upper Changi / Somapah
",UPC,"Tampines
",,,1.36359889649663,103.974631776257
 CG1  DT35   ,,博览,எக்ஸ்போ,"Expo
",XPO,Tampines,"  EWL Changi Airport Branch Line 
",,1.33454977824817,103.961548211018
—,Xilin,锡林,சீலின்,2024,"Xilin
",XLN,Tampines,"—
",,
—,Sungei Bedok,双溪勿洛[18],சங்கை பிடோக்,"Sungei Bedok
",SGB,"Bedok
",,,,
 TE1  ,Woodlands North,兀兰北,உட்லண்ட்ஸ் நார்த்,31 January 2020[19],"Woodlands North / Republic Polytechnic[c] / Admiralty Park
",WDN,Woodlands,"—
",1.44918815875571,103.78383902539
 NS9  TE2   ,,兀兰,ஊட்லண்ட்ஸ்,"Woodlands
",WDL,Woodlands,"  North South Line — Woodlands Woodlands Temporary
",,1.43357568988365,103.804329417963
 TE3  ,Woodlands South,兀兰南,உட்லண்ட்ஸ் சவுத்,"Woodlands South / Ulu Sembawang / Woodgrove
",WDS,Woodlands,"—
",,1.43537403414478,103.787753880601
 TE4  ,Springleaf,春叶,ஸ்பிரிங்லீஃவ்,28 August 2021,"Springleaf / Nee Soon / Thong Soon
",SPL,"Yishun
",,1.40087927084758,103.822458537752
 TE5   ,Lentor,伦多,லென்ட்டோர்,"Lentor / Ulu Seletar / Teachers' Estate
",LTR,"Ang Mo Kio
",,,1.39387482221826,103.833779991585
 TE6   ,Mayflower,美华,மேஃபிளவர்,"Mayflower / Kebun Baru / Ang Mo Kio West
",MFL,"Ang Mo Kio
",,,1.3727240259156,103.839545318136
 TE7   ,Bright Hill,光明山,பிரைட் ஹில்,"Sin Ming / Bishan Park / Bright Hill
",BRH,"Bishan
",,,1.36192441868888,103.835473741531
 TE8  ,Upper Thomson,汤申路上段[20],அப்பர் தாம்சன்,"Upper Thomson / Thomson Plaza / Thomson Park
",UTS,"Bishan
",,,1.3796629234873,103.822369033452
 CC17  TE9   ,,加利谷,கால்டிகாட்,"Caldecott
",CDT,Toa Payoh,"  Circle Line 
",,1.3393282223049,103.831875418151
—,Mount Pleasant,快乐山,மவுண்ட் பிளசண்ட்,TBA,"Mount Pleasant / Whitley / Onraet
",MPL,Novena,"—
",,
 DT10  TE11  ,,史蒂芬,ஸ்டீவன்ஸ்,13 November 2022[21],"Stevens
",STV,"Novena, Tanglin","  Downtown Line 
",1.31732347719983,103.826839917034
 TE12  ,Napier,纳比雅,நேப்பியர்,"Napier / Botanic Gardens South / Taman Serasi
",NPR,Tanglin,"—
",,1.30678223364785,103.818956796815
 TE13  ,Orchard Boulevard,乌节大道,ஆர்ச்சர்ட் பொலிவார்ட்,"Orchard Boulevard / Grange Road / Tanglin
",OBV,"Orchard Planning Area, River Valley Planning Area
",,,1.3040517438791,103.830461436174
 NS22  TE14  ,,乌节,ஆர்ச்சர்ட்,"Orchard
",ORC,"Orchard Planning Area, River Valley Planning Area","  North South Line 
",,1.29906869032036,103.846647830444
 TE15  ,Great World,大世界,கிரேட் வோர்ல்ட்,"Great World / Kim Seng / River Valley
",GRW,"River Valley Planning Area, Singapore River Planning Area","—
",,1.29342272650003,103.832022146655
 TE16  ,Havelock,合乐,ஹவ்லாக்,"Havelock / Bukit Ho Swee / Zion Road
",HVL,"Bukit Merah
",,,1.28851645692397,103.832470634069
 EW16  NE3  TE17   ,,欧南园,ஊட்ரம் பார்க்,"Outram Park
",OTP,"Bukit Merah, Outram","  East West Line   North East Line — Kampong Bahru
",,1.283798706092,103.838641047145
 TE18  ,Maxwell,麦士威,மெச்ஸ்வெல்,"Maxwell / Ann Siang Hill / Neil Road
",MAX,"Downtown Core, Outram","—
",,1.27748817305035,103.846222184202
 TE19  ,Shenton Way,珊顿道,ஷென்ட்டன் வே,"Shenton Way / Asia Square / McCallum
",SHW,"Downtown Core
",,,1.27612402388542,103.848159371383
 NS27  CE2  TE20   ,,滨海湾,மரீனா பே,"Marina Bay
",MRB,"Downtown Core, Straits View Planning Area","  North South Line   Circle Line Extension 
",,1.28466203640592,103.861005919029
—,Marina South,滨海南,மரீனா சவுத்,TBA,"Marina South / Straits View / Marina Boulevard
",MRS,"Marina South, Straits View Planning Area","—
",,
 TE22   ,Gardens by the Bay • Taman di Pesisiran,滨海湾花园,கரையோரப் பூந்தோட்டங்கள்,13 November 2022,Gardens by the Bay / Marina Barrage / Marina Gardens,GRB,"Marina South
",,,
—,Founders' Memorial • Peringatan Pengasas,建国先贤纪念园,தேச நிறுவனர்கள் நினைவிட நிலையம்,2027,"Gardens Bay East, Marina East
",FDM,Marina East,"—
",,
—,Tanjong Rhu,丹戎禺,தஞ்சோங் ரூ,2024,"Tanjong Rhu / Sandy Point
",TRH,Kallang,"—
",,
—,Katong Park,加东公园,காத்தோங் பார்க்,"Katong Park / Fort Road
",KTP,"Kallang, Marine Parade
",,,,
—,Tanjong Katong,丹戎加东,தஞ்சோங் காத்தோங்,"Amber / Tanjong Katong
",TKT,"Marine Parade
",,,,
—,Marine Parade,马林百列,மரீன் பரேட்,"Marine Parade / Parkway South
",MPR,"Marine Parade
",,,,
—,Marine Terrace,马林台,மரீன் டெரஸ்,"Marine Terrace / Telok Kurau
",MTC,"Bedok, Marine Parade
",,,,
—,Siglap,实乞纳,சிக்லாப்,"Siglap / Siglap South
",SGL,"Bedok
",,,,
—,Bayshore,碧湾,பேஷோர்,"Bayshore / Bedok Jetty
",BSR,"Bedok
",,,,
—,Bedok South,勿洛南,பிடோக் சவுத்,2025,"Bedok South / Upper East Coast
",BDS,Bedok," Bedok South[16]
",,
—,,双溪勿洛[18],சுங்கை பிடோக்,"Sungei Bedok / Eastwood
",SGB,Bedok,"  Downtown Line 
",,,
—,Changi Airport Terminal 5[d],TBA,TBA,2040,"Changi Airport
",TBA,Changi," Changi Airport Terminal 5 
",,
 CG2 ,,樟宜机场,சாங்கி விமானநிலையம்,"Changi Airport
",CGA,Changi," Changi Airport— Changi Airport Terminals 1-4 
",,1.34917202192293,103.986847379391
 CG1  DT35 ,,博览,எக்ஸ்போ,"Somapah
",XPO,Tampines,"  Downtown Line 
",,1.33454977824817,103.961548211018
 EW4  CG ,,丹那美拉,தானா மேரா,"Bedok, Changi
",TNM,Bedok,"  East West Line 
",,1.3295570107922,103.946123128424
 NS4  BP1 ,,蔡厝港,சுவா சூ காங்,2027,"Choa Chu Kang
",CCK,Choa Chu Kang,"  North South Line   Bukit Panjang LRT — Choa Chu Kang
",1.37633651417178,103.72530295941
—,Choa Chu Kang West,蔡厝港西,சுவா சூ காங் வெஸ்ட்,"Choa Chu Kang West
",CKW,Choa Chu Kang,"—
",,,
—,Tengah,登加,தெங்கா,"Tengah
",TGH,Tengah,"  JRL East Branch — Tengah[16]
",,,
—,Hong Kah,丰加,ஹோங் காஹ்,"Hong Kah
",HGK,Tengah,"—
",,,
—,Corporation,企业,கார்ப்பரெஷன்,"Corporation
",CPN,"Jurong West
",,,,
—,Jurong West,裕廊西,ஜூரோங் வெஸ்ட்,"Jurong West
",JRW,"Jurong West
",,,,
—,Bahar Junction,峇哈路口,பஹார் சந்திப்பு,"Bahar Junction
",BHJ,Jurong West,"  JRL West Branch 
",,,
 EW27 ,,文礼,பூன் லே,"Boon Lay
",BNL,Jurong West,"  East West Line — Boon Lay
",,1.34704786197086,103.710367402221
—,Gek Poh,玉宝,ஜெக் போ,"Gek Poh
",GKP,Jurong West,"—
",,,
—,Tawas,大华士,தாவாஸ்,"Tawas
",TWS,"Western Water Catchment
",,,,
—,Tengah Plantation,登加种植,தெங்கா தோட்டம்,2028,"Tengah Plantation
",TGP,Tengah,"—
",,
—,Tengah Park,登加公园,தெங்கா பூங்கா,"Tengah Park
",TGK,"Bukit Batok, Tengah
",,,,
—,Bukit Batok West,武吉巴督西,புக்கிட் பாத்தோக் வெஸ்ட்,"Bukit Batok West
",BBW,"Bukit Batok, Jurong East
",,,,
—,Toh Guan,卓源,டோ குவான்,"Toh Guan
",TGN,"Jurong East
",,,,
 NS1  EW24 ,,裕廊东,ஜூரோங் கிழக்கு,"Jurong East
",JUR,Jurong East,"  North South Line   East West Line — Jurong East
",,1.34394361727901,103.734931027328
—,Jurong Town Hall,裕廊镇大会堂,ஜுராங் டவுன் ஹால்,"Jurong Town Hall
",JTH,Jurong East,"—
",,,
—,Pandan Reservoir,班丹蓄水池,பாண்டன் ரெசவோர்,"Pandan Reservoir
",PDR,"Jurong East
",,,,
—,Enterprise,事业,எண்டர்பிரைஸ்,2029,"Enterprise
",ETP,Jurong West,"—
",,
—,Tukang,都康,துக்காங்,"Tukang
",TKN,"Boon Lay
",,,,
—,Jurong Hill,裕廊山,ஜூரோங் ஹில்,"Jurong Hill
",JRH,"Boon Lay
",,,,
—,Jurong Pier,裕廊渡头,ஜூரோங் பியர்,"Jurong Pier
",JRP,"Boon Lay, Jurong East
",,,,
—,Nanyang Gateway,南洋门,நன்யாங் கேட்வே,"Nanyang Gateway
",NYG,"Western Water Catchment
",,,,
—,Nanyang Crescent,南洋弯,நன்யாங் க்ரெஸ்ஸன்,"Nanyang Crescent
",NYC,"Western Water Catchment
",,,,
—,Peng Kang Hill,秉光山,பெங் காங் ஹில்,"Peng Kang Hill
",PKH,"Western Water Catchment
",,,,
 CC25 ,,虎豹别墅,ஹா பர் வில்லா,TBA,"Haw Par Villa
",HPV,Queenstown,"  Circle Line 
",1.38879582498399,103.890004423764
—,Changi Airport Terminal 5,TBA,TBA,TBA,[d],TBA,Changi," Changi Airport Terminal 5 
",,
—,Aviation Park,航空园,ஏவியேஷ பார்க்,2030,Aviation Park,AVP,Changi," Changi Ferry Terminal 
",,
—,Loyang,罗央,லோயாங்,Loyang,LYG,Pasir Ris,"—
",,,
—,Pasir Ris East,巴西立东,பாசிர் ரிஸ் ஈஸ்ட்,Pasir Ris East,PRE,"Pasir Ris
",,,,
 EW1 ,,巴西立,பாசிர் ரிஸ்,"Pasir Ris
",PSR,Pasir Ris,"  East West Line — Pasir Ris
",,1.38879582498399,103.890004423764
—,Tampines North,淡滨尼北,தெம்பினிஸ் நார்த்,Tampines North,TPN,Tampines," Tampines North[16]
",,,
—,Defu,德福,டெஃபு,"Defu, Tampines Road",DFU,Hougang,"—
",,,
 NE14 ,,后港,ஹவ்காங்,"Hougang
",HGN,Hougang,"  North East Line — Hougang Central
",,1.38879582498399,103.890004423764
—,Serangoon North,实龙岗北,சிராங்கூன் நார்த்,Serangoon North,SRN,"Hougang, Serangoon","—
",,,
—,Tavistock,达维士笃,தெவிஸ்தொக்,Tavistock,TVK,"Serangoon
",,,,
 NS16 ,,宏茂桥,அங் மோ கியோ,"Ang Mo Kio
",AMK,Ang Mo Kio,"  North South Line — Ang Mo Kio
",,1.38879582498399,103.890004423764
—,Teck Ghee,德义,டெக் கீ,Teck Ghee,TGE,"Ang Mo Kio, Bishan","—
",,,
 TE7 ,,光明山,பிரைட் ஹில்,"Bright Hill
",BRH,Bishan,"  Thomson–East Coast Line 
",,1.38879582498399,103.890004423764
—,Turf City,马城,டர்ஃப் சிட்­டி­யில்,2032,Turf City,TFC,Bukit Timah,"—
",,
 DT6 ,,阿尔柏王园,கிங் ஆல்பர்ட் பார்க்,"King Albert Park
",KAP,Bukit Timah,"  Downtown Line 
",,1.38879582498399,103.890004423764
—,Maju,马裕,மாஜு,Maju,MAJ,Bukit Timah,"—
",,,
 EW23 ,,金文泰,கிளிமெண்டி,"Clementi
",CLE,Clementi,"  East West Line — Clementi
",,1.38879582498399,103.890004423764
—,West Coast,西海岸,வெஸ்ட் கோஸ்ட்,West Coast,WSC,Clementi,"—
",,,
—,Jurong Lake District,裕廊湖区,ஜூரோங் லேக் வட்­டா­ரம்,Jurong Lake District,JLD,"Jurong East
",,,,
—,Elias,伊莱雅,இலியாஸ்,2032,Elias,PRL,Pasir Ris,"—
",,
 PE4 ,Riviera,里维拉,ரிவியாரா,Riviera,RIV,Punggol,"  PGLRT East Loop  
",,1.32815030971249,103.863466341606
 NE17  PTC ,,榜鹅,பொங்கோல்,"Punggol
",PGL,Punggol,"  North East Line   Punggol LRT — Punggol
",,1.38879582498399,103.890004423764
